glyph_id,fingerprint,n_cells,cells,occurrences,manual_occurrences,provisional_occurrences,recording_count,recordings,broadcast_count,broadcasts,cycles,phrase_clusters,phrase_roles,near_twins_d1,near_twins_d2,nearest_neighbour_distance,family_id,family_size,top_predecessors,top_successors,first_video,first_frame,first_time_s
50,000000001100000010000000000100010000000000000000000000000000000000000000000000000,5,"(0,8) (1,0) (1,7) (3,0) (3,4)",19,12,7,19,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-2T [local capture]; E6C4-30; E6C4-30 [local capture]; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,17,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-30; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,E6C2; E6C4; E6C5; E6C6,D,Side track core (12 broadcasts) — most-replayed payload,,,5,49,1,49×19,51×19,E6C2-1K,293,9.7696
51,000000000001000000010000000000000000000100000000000000000000000001000000000001000,5,"(1,2) (2,1) (4,3) (7,2) (8,5)",19,12,7,19,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-2T [local capture]; E6C4-30; E6C4-30 [local capture]; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,17,E6C2-1K; E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-30; E6C4-35; E6C5-13; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,E6C2; E6C4; E6C5; E6C6,,,,,6,50,1,50×19,52×10; 133×4,E6C2-1K,299,9.9696
52,100000100001000000000000000000010000001000000000001000000000000100000000010100001,10,"(0,0) (0,6) (1,2) (3,4) (4,2) (5,5) (7,0) (8,1) (8,3) (8,8)",10,9,1,10,E6C2-1K; E6C4-13; E6C4-16; E6C4-19; E6C4-1H; E6C4-2T; E6C4-2T [local capture]; E6C4-30; E6C4-35; E6C5-N,9,E6C2-1K; E6C4-13; E6C4-16; E6C4-19; E6C4-1H; E6C4-2T; E6C4-30; E6C4-35; E6C5-N,E6C2; E6C4; E6C5,,,133,,1,51,2,51×10,53×4,E6C2-1K,305,10.1696
53,001000000001000000100000010100000000000000000000000000100000000001000000000000000,7,"(0,2) (1,2) (2,0) (2,7) (3,0) (6,0) (7,2)",5,4,1,5,E6C2-1K; E6C4-13; E6C4-16; E6C4-35; E6C5-13,5,E6C2-1K; E6C4-13; E6C4-16; E6C4-35; E6C5-13,E6C2; E6C4; E6C5,,,,,8,52,1,52×4; 133×1,54×4,E6C2-1K,310,10.3363
54,000001000010000000000000010000100000001000000000100000010000000000000010001000111,12,"(0,5) (1,1) (2,7) (3,3) (4,2) (5,3) (6,1) (7,7) (8,2) (8,6) (8,7) (8,8)",4,3,1,4,E6C2-1K; E6C4-16; E6C4-35; E6C5-13,4,E6C2-1K; E6C4-16; E6C4-35; E6C5-13,E6C2; E6C4; E6C5,C,Side track (2 broadcasts) — opener/tail segment,,,8,53,1,53×4,55×2,E6C2-1K,317,10.5696
55,000000000000000000000000001100010000000000000000000000000000000000000000011000100,6,"(2,8) (3,0) (3,4) (8,1) (8,2) (8,6)",3,2,1,3,E6C2-1K; E6C4-35; E6C6-D,3,E6C2-1K; E6C4-35; E6C6-D,E6C2; E6C4; E6C6,C,Side track (2 broadcasts) — opener/tail segment,,,6,54,1,54×2,56×3,E6C2-1K,323,10.7696
56,000000100000000001100000001000000000000100000000000000100000000010000000001000000,8,"(0,6) (1,8) (2,0) (2,8) (4,3) (6,0) (7,1) (8,2)",3,2,1,3,E6C2-1K; E6C4-35; E6C6-D,3,E6C2-1K; E6C4-35; E6C6-D,E6C2; E6C4; E6C6,,,,,7,55,1,55×3,57×2; 58×1,E6C2-1K,329,10.9696
57,010000000101000000000000000000001000000010000000000001000000000001000010000000000,8,"(0,1) (1,0) (1,2) (3,5) (4,4) (5,8) (7,2) (7,7)",2,1,1,2,E6C2-1K; E6C6-D,2,E6C2-1K; E6C6-D,E6C2; E6C6,C,Side track (2 broadcasts) — opener/tail segment,,,6,56,1,56×2,58×2,E6C2-1K,335,11.1696
58,001001000000000001000000000000110000000000000100010000000000000000000000000000011,9,"(0,2) (0,5) (1,8) (3,3) (3,4) (5,0) (5,4) (8,7) (8,8)",3,2,1,3,E6C2-1K; E6C4-35; E6C6-D,3,E6C2-1K; E6C4-35; E6C6-D,E6C2; E6C4; E6C6,C,Side track (2 broadcasts) — opener/tail segment,,,7,57,1,57×2; 56×1,59×3,E6C2-1K,342,11.403
59,001000000001000010000000001000000000000000100000000000000000000000000000000000000,5,"(0,2) (1,2) (1,7) (2,8) (4,6)",3,2,1,3,E6C2-1K; E6C4-35; E6C6-D,3,E6C2-1K; E6C4-35; E6C6-D,E6C2; E6C4; E6C6,C,Side track (2 broadcasts) — opener/tail segment,,,6,58,1,58×3,60×3,E6C2-1K,347,11.5696
60,000000000000000001000000000100110000000000000000010000100000010000000000000001010,9,"(1,8) (3,0) (3,3) (3,4) (5,4) (6,0) (6,7) (8,5) (8,7)",3,2,1,3,E6C2-1K; E6C4-35; E6C6-D,3,E6C2-1K; E6C4-35; E6C6-D,E6C2; E6C4; E6C6,C,Side track (2 broadcasts) — opener/tail segment,,,8,59,1,59×3,61×3,E6C2-1K,354,11.8029
61,000100100000000000000000000000101000000010000000000000000010000100000000001000100,9,"(0,3) (0,6) (3,3) (3,5) (4,4) (6,4) (7,0) (8,2) (8,6)",3,2,1,3,E6C2-1K; E6C4-35; E6C6-D,3,E6C2-1K; E6C4-35; E6C6-D,E6C2; E6C4; E6C6,C,Side track (2 broadcasts) — opener/tail segment,,,7,60,1,60×3,62×3,E6C2-1K,359,11.9696
62,000100101000000000010010000000001000001010100100100000000000010000000000000000010,13,"(0,3) (0,6) (0,8) (2,1) (2,4) (3,5) (4,2) (4,4) (4,6) (5,0) (5,3) (6,7) (8,7)",4,3,1,4,E6C2-1K; E6C4-35; E6C6-D; Youtube_1,4,E6C2-1K; E6C4-35; E6C6-D; Youtube_1,E6C2; E6C4; E6C6; Era 5 legacy,C,Side track (2 broadcasts) — opener/tail segment,,,10,61,1,61×3,63×4,E6C2-1K,365,12.1696
63,000100000010000000010010001000010000000001000000010000000000000000000000110000001,11,"(0,3) (1,1) (2,1) (2,4) (2,8) (3,4) (4,5) (5,4) (8,0) (8,1) (8,8)",4,3,1,4,E6C2-1K; E6C4-35; E6C6-D; Youtube_1,4,E6C2-1K; E6C4-35; E6C6-D; Youtube_1,E6C2; E6C4; E6C6; Era 5 legacy,C,Side track (2 broadcasts) — opener/tail segment,,,10,62,1,62×4,64×4,E6C2-1K,372,12.4029
64,000000100000000000000000000100100000000000100000000000000010010000000101010000100,10,"(0,6) (3,0) (3,3) (4,6) (6,4) (6,7) (7,6) (7,8) (8,1) (8,6)",4,3,1,4,E6C2-1K; E6C4-35; E6C6-D; Youtube_1,4,E6C2-1K; E6C4-35; E6C6-D; Youtube_1,E6C2; E6C4; E6C6; Era 5 legacy,C,Side track (2 broadcasts) — opener/tail segment,,,9,63,1,63×4,65×4,E6C2-1K,376,12.5363
65,000000000000000001100000001000001000000000100000100000000000000000000010001100000,9,"(1,8) (2,0) (2,8) (3,5) (4,6) (5,3) (7,7) (8,2) (8,3)",4,3,1,4,E6C2-1K; E6C4-35; E6C6-D; Youtube_1,4,E6C2-1K; E6C4-35; E6C6-D; Youtube_1,E6C2; E6C4; E6C6; Era 5 legacy,C,Side track (2 broadcasts) — opener/tail segment,,,8,64,1,64×4,66×4,E6C2-1K,382,12.7363
66,000001100101000001000000000000010000001000000000001000000000000010000001000000010,11,"(0,5) (0,6) (1,0) (1,2) (1,8) (3,4) (4,2) (5,5) (7,1) (7,8) (8,7)",4,3,1,4,E6C2-1K; E6C4-35; E6C6-D; Youtube_1,4,E6C2-1K; E6C4-35; E6C6-D; Youtube_1,E6C2; E6C4; E6C6; Era 5 legacy,C,Side track (2 broadcasts) — opener/tail segment,,,9,65,1,65×4,67×4,E6C2-1K,389,12.9696
67,000000000000000000000000000000010000000000000100000000000000000000000000000000000,2,"(3,4) (5,0)",6,3,3,5,E6C2-1K; E6C4-30 [local capture]; E6C4-35; E6C6-D; Youtube_1,5,E6C2-1K; E6C4-30; E6C4-35; E6C6-D; Youtube_1,E6C2; E6C4; E6C6; Era 5 legacy,K,Bridge between main and side tracks (4 broadcasts),,,5,66,1,66×4; 67×1,135×3; 67×1; 120×1,E6C2-1K,396,13.2029
68,000001011001000010010000000100001001000000000000000001100000000001000010100000100,15,"(0,5) (0,7) (0,8) (1,2) (1,7) (2,1) (3,0) (3,5) (3,8) (5,8) (6,0) (7,2) (7,7) (8,0) (8,6)",1,1,0,1,E6C3-18,1,E6C3-18,E6C3,K,Bridge between main and side tracks (4 broadcasts),,,13,67,1,,69×1,E6C3-18,642,21.4031
69,000100001000000000000000001000010000000000000100000000000000001000000001000000001,8,"(0,3) (0,8) (2,8) (3,4) (5,0) (6,8) (7,8) (8,8)",1,1,0,1,E6C3-18,1,E6C3-18,E6C3,,,,,6,68,1,68×1,70×1,E6C3-18,648,21.6031
70,000000000001000000000000000000000000000100000100000000010000000000000100010000010,7,"(1,2) (4,3) (5,0) (6,1) (7,6) (8,1) (8,7)",1,1,0,1,E6C3-18,1,E6C3-18,E6C3,,,,,7,69,1,69×1,71×1,E6C3-18,654,21.803
71,000000000001000000000000001000000001001001100000011000000000000000000001000000110,11,"(1,2) (2,8) (3,8) (4,2) (4,5) (4,6) (5,4) (5,5) (7,8) (8,6) (8,7)",1,1,0,1,E6C3-18,1,E6C3-18,E6C3,,,,,10,70,1,70×1,72×1,E6C3-18,660,22.003
72,010100000001000000100000000000000001000010000000100001010000000010000000001000000,11,"(0,1) (0,3) (1,2) (2,0) (3,8) (4,4) (5,3) (5,8) (6,1) (7,1) (8,2)",1,1,0,1,E6C3-18,1,E6C3-18,E6C3,,,,,10,71,1,71×1,73×1,E6C3-18,661,22.0363
73,000001000100000000000000010000000000001000100000000000000010000000000001000000100,8,"(0,5) (1,0) (2,7) (4,2) (4,6) (6,4) (7,8) (8,6)",1,1,0,1,E6C3-18,1,E6C3-18,E6C3,,,,,8,72,1,72×1,74×1,E6C3-18,672,22.403
74,000100000001000010000010000100000001000000000000010000000000000010000001000000011,11,"(0,3) (1,2) (1,7) (2,4) (3,0) (3,8) (5,4) (7,1) (7,8) (8,7) (8,8)",1,1,0,1,E6C3-18,1,E6C3-18,E6C3,,,,,9,73,1,73×1,75×1,E6C3-18,673,22.4363
75,000000001010000010000000000000011000000000000000001000110000000000000001100101100,13,"(0,8) (1,1) (1,7) (3,4) (3,5) (5,5) (6,0) (6,1) (7,8) (8,0) (8,3) (8,5) (8,6)",1,1,0,1,E6C3-18,1,E6C3-18,E6C3,,,,,10,74,1,74×1,76×1,E6C3-18,684,22.803
76,000000000000000010000000000000000000000100000000100000000000000000000000010001101,7,"(1,7) (4,3) (5,3) (8,1) (8,5) (8,6) (8,8)",1,1,0,1,E6C3-18,1,E6C3-18,E6C3,,,,,8,75,1,75×1,77×1,E6C3-18,690,23.003
77,011000000000000110000000010000000001000011100000000000100000000000000101000001000,13,"(0,1) (0,2) (1,6) (1,7) (2,7) (3,8) (4,4) (4,5) (4,6) (6,0) (7,6) (7,8) (8,5)",1,1,0,1,E6C3-18,1,E6C3-18,E6C3,,,,,11,76,1,76×1,78×1,E6C3-18,691,23.0363
78,010000001100000000010010000000000001000000100000000000000000000010000001010000000,10,"(0,1) (0,8) (1,0) (2,1) (2,4) (3,8) (4,6) (7,1) (7,8) (8,1)",1,1,0,1,E6C3-18,1,E6C3-18,E6C3,,,,,10,77,1,77×1,79×1,E6C3-18,697,23.2363
79,111000000000000000000000000000000000000000000000100000000000000001000000000001001,7,"(0,0) (0,1) (0,2) (5,3) (7,2) (8,5) (8,8)",1,1,0,1,E6C3-18,1,E6C3-18,E6C3,,,,,8,78,1,78×1,80×1,E6C3-18,708,23.603
80,010001000110000001000000000100111000001000000000000000000000000011000001010100000,15,"(0,1) (0,5) (1,0) (1,1) (1,8) (3,0) (3,3) (3,4) (3,5) (4,2) (7,1) (7,2) (7,8) (8,1) (8,3)",1,1,0,1,E6C3-18,1,E6C3-18,E6C3,,,,,12,79,1,79×1,81×1,E6C3-18,709,23.6363
81,000000000000000000000010000000010000000011000000000000100000000001000000100001000,8,"(2,4) (3,4) (4,4) (4,5) (6,0) (7,2) (8,0) (8,5)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,,,,,8,80,1,80×1,82×2,E6C3-18,715,23.8363
82,001000010000000010000000001000000000000001000100000001010010000000000010000001110,13,"(0,2) (0,7) (1,7) (2,8) (4,5) (5,0) (5,8) (6,1) (6,4) (7,7) (8,5) (8,6) (8,7)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,,,11,81,1,81×2,83×1; 113×1,E6C3-18,721,24.0363
83,010000000001000000000000000000000000000000100000000000000000011001000101000000000,8,"(0,1) (1,2) (4,6) (6,7) (6,8) (7,2) (7,6) (7,8)",1,1,0,1,E6C3-18,1,E6C3-18,E6C3,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,113,,1,82,2,82×1,84×1,E6C3-18,727,24.2363
84,000000000000000000000010010000000000000100000000010000000000010000000110000000100,8,"(2,4) (2,7) (4,3) (5,4) (6,7) (7,6) (7,7) (8,6)",1,1,0,1,E6C3-18,1,E6C3-18,E6C3,,,114,,1,83,2,83×1,85×1,E6C3-18,733,24.4363
85,101001000010000000000010000000000000000000100000000001010000000000000000010001010,11,"(0,0) (0,2) (0,5) (1,1) (2,4) (4,6) (5,8) (6,1) (8,1) (8,5) (8,7)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,,,,,9,84,1,84×1; 114×1,86×2,E6C3-18,738,24.603
86,001000000000000010000000000000000000001001000000000001000000000000000100001001000,8,"(0,2) (1,7) (4,2) (4,5) (5,8) (7,6) (8,2) (8,5)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,,,9,85,1,85×2,87×2,E6C3-18,744,24.803
87,000000000010000000000000010000000000000000100000001000010000000001000101000100010,10,"(1,1) (2,7) (4,6) (5,5) (6,1) (7,2) (7,6) (7,8) (8,3) (8,7)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,,,8,86,1,86×2,88×2,E6C3-18,752,25.0696
88,000000000001000011000000000000000000000000000100000000000010000000000000000000000,5,"(1,2) (1,7) (1,8) (5,0) (6,4)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,,,5,87,1,87×2,89×2,E6C3-18,757,25.2363
89,000000000000000000000000000000100000000010000000010000110000011000000000000100000,8,"(3,3) (4,4) (5,4) (6,0) (6,1) (6,7) (6,8) (8,3)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,,,8,88,1,88×2,90×2,E6C3-18,763,25.4363
90,000000000000000000000010000000000000000000000000010000000000001000000010000000000,4,"(2,4) (5,4) (6,8) (7,7)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,,,5,89,1,89×2,91×2,E6C3-18,769,25.6363
91,000000010010000100000000000000000000000001000000000001000000000001000000000000000,6,"(0,7) (1,1) (1,6) (4,5) (5,8) (7,2)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,,,8,90,1,90×2,92×2,E6C3-18,775,25.8363
92,010000110100000000000010000100000000000000100000101001000000000000000101100100100,15,"(0,1) (0,6) (0,7) (1,0) (2,4) (3,0) (4,6) (5,3) (5,5) (5,8) (7,6) (7,8) (8,0) (8,3) (8,6)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,,,12,91,1,91×2,93×2,E6C3-18,781,26.0363
93,001100000000000000000010000000000000000001000000000000000000000010000000011000000,7,"(0,2) (0,3) (2,4) (4,5) (7,1) (8,1) (8,2)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,,,8,92,1,92×2,94×2,E6C3-18,787,26.2363
94,010100000000000111000000000100001000000000000100010000000010001000000000001001100,14,"(0,1) (0,3) (1,6) (1,7) (1,8) (3,0) (3,5) (5,0) (5,4) (6,4) (6,8) (8,2) (8,5) (8,6)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,,,11,93,1,93×2,95×2,E6C3-18,794,26.4696
95,100000000100000000000000000000000000000000100000000000000010000010000010000000001,7,"(0,0) (1,0) (4,6) (6,4) (7,1) (7,7) (8,8)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,,,7,94,1,94×2,96×2,E6C3-18,798,26.6029
96,001101000000000000010010000000000000001110100000000000000000000000000001001000010,12,"(0,2) (0,3) (0,5) (2,1) (2,4) (4,2) (4,3) (4,4) (4,6) (7,8) (8,2) (8,7)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,,,11,95,1,95×2,97×2,E6C3-18,804,26.8029
97,000000000100000000000000000100110000000000000000010000000000010010000001100000000,9,"(1,0) (3,0) (3,3) (3,4) (5,4) (6,7) (7,1) (7,8) (8,0)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,,,8,96,1,96×2,98×2,E6C3-18,811,27.0363
98,010001000100000100000010000000001001000010000000100000010000000001000000010001001,14,"(0,1) (0,5) (1,0) (1,6) (2,4) (3,5) (3,8) (4,4) (5,3) (6,1) (7,2) (8,1) (8,5) (8,8)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,,,11,97,1,97×2,99×2,E6C3-18,816,27.2029
99,000000011010000000000000000000000000000100000000000000010010000001000000100000000,8,"(0,7) (0,8) (1,1) (4,3) (6,1) (6,4) (7,2) (8,0)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,,,7,98,1,98×2,100×2,E6C3-18,822,27.4029
100,001000010000000000000000001100001000000100000000000000110010000000000010000000001,11,"(0,2) (0,7) (2,8) (3,0) (3,5) (4,3) (6,0) (6,1) (6,4) (7,7) (8,8)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,,,11,99,1,99×2,101×2,E6C3-18,828,27.6029
101,000000010000000110100000000000000001000000000000100000000000000011000010100000000,10,"(0,7) (1,6) (1,7) (2,0) (3,8) (5,3) (7,1) (7,2) (7,7) (8,0)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,,,9,100,1,100×2,102×2,E6C3-18,834,27.8029
102,100000000000000000000000000000010001000101000000000000000000010010000001001100000,10,"(0,0) (3,4) (3,8) (4,3) (4,5) (6,7) (7,1) (7,8) (8,2) (8,3)",2,2,0,2,E6C3-18; E6C4-V,2,E6C3-18; E6C4-V,E6C3; E6C4,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,,,8,101,1,101×2,115×1,E6C3-18,841,28.0363
103,001000101001000000000000000000000000000000000000000001000000000000000000001000100,7,"(0,2) (0,6) (0,8) (1,2) (5,8) (8,2) (8,6)",1,1,0,1,E6C3-1L,1,E6C3-1L,E6C3,A,Track 3 (sparse) — E6C3-18 / E6C4-V payload,,,8,102,1,,104×1,E6C3-1L,740,24.6727
104,000001001001000000000010000000000001000000000000000000000000000000000000000000001,6,"(0,5) (0,8) (1,2) (2,4) (3,8) (8,8)",1,1,0,1,E6C3-1L,1,E6C3-1L,E6C3,,,,,4,103,1,103×1,105×1,E6C3-1L,746,24.8727
105,000000010000000010000000000000101000000000000000000000000000000000000000000000000,4,"(0,7) (1,7) (3,3) (3,5)",1,1,0,1,E6C3-1L,1,E6C3-1L,E6C3,,,,,5,104,1,104×1,106×1,E6C3-1L,750,25.006
106,000000000000000000000000010000000000000000000100000000000000001000000101000000000,5,"(2,7) (5,0) (6,8) (7,6) (7,8)",1,1,0,1,E6C3-1L,1,E6C3-1L,E6C3,,,,,3,105,1,105×1,107×1,E6C3-1L,758,25.2726
107,000001000000000000000010000000000000000000000100000001000000000000000010000000000,5,"(0,5) (2,4) (5,0) (5,8) (7,7)",1,1,0,1,E6C3-1L,1,E6C3-1L,E6C3,,,,,5,106,1,106×1,12×1,E6C3-1L,759,25.306
108,001000000010000100000000000000010001000000000000000001000000010000000001100000101,11,"(0,2) (1,1) (1,6) (3,4) (3,8) (5,8) (6,7) (7,8) (8,0) (8,6) (8,8)",1,1,0,1,E6C3-1L,1,E6C3-1L,E6C3,,,,,4,107,1,12×1,109×1,E6C3-1L,776,25.8726
109,100000010000000000000000000000000000001010000000000000000000010000000001000000000,6,"(0,0) (0,7) (4,2) (4,4) (6,7) (7,8)",1,1,0,1,E6C3-1L,1,E6C3-1L,E6C3,,,,,4,108,1,108×1,110×1,E6C3-1L,782,26.0726
110,000001000010000100000000000100110000000001000000000000000000000000000010000000001,9,"(0,5) (1,1) (1,6) (3,0) (3,3) (3,4) (4,5) (7,7) (8,8)",1,1,0,1,E6C3-1L,1,E6C3-1L,E6C3,,,,15,2,15,2,109×1,111×1,E6C3-1L,789,26.3059
111,001000001000000101000000011000100000000000000000000000000010010100000000000000010,11,"(0,2) (0,8) (1,6) (1,8) (2,7) (2,8) (3,3) (6,4) (6,7) (7,0) (8,7)",1,1,0,1,E6C3-1L,1,E6C3-1L,E6C3,,,16,,1,16,2,110×1,17×1,E6C3-1L,795,26.5059
112,000001000000000000000000000000001000000000000100000000000010000000000100000000000,5,"(0,5) (3,5) (5,0) (6,4) (7,6)",17,11,6,17,E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-2T [local capture]; E6C4-30; E6C4-30 [local capture]; E6C4-35; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,15,E6C4-13; E6C4-16; E6C4-17; E6C4-18; E6C4-19; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-30; E6C4-35; E6C5-2J; E6C5-N; E6C6-11; E6C6-1R; E6C6-21,E6C4; E6C5; E6C6,,,,,5,109,1,126×16,38×17,E6C5-N,1105,36.8446
113,000000000001000000000000000000000000000000100000000000000000011001000101000000000,7,"(1,2) (4,6) (6,7) (6,8) (7,2) (7,6) (7,8)",1,1,0,1,E6C4-V,1,E6C4-V,E6C4,,,83,,1,82,2,82×1,114×1,E6C4-V,643,21.4493
114,000000000000000000000010010000000000000100000000010000000000010000000110000000000,7,"(2,4) (2,7) (4,3) (5,4) (6,7) (7,6) (7,7)",1,1,0,1,E6C4-V,1,E6C4-V,E6C4,,,84,,1,83,2,113×1,85×1,E6C4-V,654,21.816
115,000000011000000000000010000000000001000100000100100000000000000010000000000000001,9,"(0,7) (0,8) (2,4) (3,8) (4,3) (5,0) (5,3) (7,1) (8,8)",1,1,0,1,E6C4-V,1,E6C4-V,E6C4,,,,,7,110,1,102×1,116×1,E6C4-V,762,25.4159
116,110100000000000000000000000000001000000001000000000000100000011000000001101001110,14,"(0,0) (0,1) (0,3) (3,5) (4,5) (6,0) (6,7) (6,8) (7,8) (8,0) (8,2) (8,5) (8,6) (8,7)",1,1,0,1,E6C4-V,1,E6C4-V,E6C4,,,,,13,111,1,115×1,,E6C4-V,768,25.6159
117,000000000011000000100000000100010000001010100000000000100000000010000100001000000,12,"(1,1) (1,2) (2,0) (3,0) (3,4) (4,2) (4,4) (4,6) (6,0) (7,1) (7,6) (8,2)",7,5,2,7,E6C4-13; E6C4-16; E6C4-1G; E6C4-2T; E6C4-2T [local capture]; E6C4-30; E6C6-11,6,E6C4-13; E6C4-16; E6C4-1G; E6C4-2T; E6C4-30; E6C6-11,E6C4; E6C6,,,,,11,112,1,128×3,118×7,E6C4-13,415,13.8416
118,000000000000000001000000000000000000000000000000101001000000000000000110000100000,7,"(1,8) (5,3) (5,5) (5,8) (7,6) (7,7) (8,3)",8,6,2,7,E6C4-13; E6C4-16; E6C4-1G; E6C4-2T; E6C4-2T [local capture]; E6C4-30; E6C6-11,6,E6C4-13; E6C4-16; E6C4-1G; E6C4-2T; E6C4-30; E6C6-11,E6C4; E6C6,I,Side track (5 broadcasts) — opener/tail segment,,,7,113,1,117×7; 118×1,119×6; 129×1; 118×1,E6C4-13,420,14.0082
119,000000000001000100000000010000110000001000000100000001000000000011000000100000001,12,"(1,2) (1,6) (2,7) (3,3) (3,4) (4,2) (5,0) (5,8) (7,1) (7,2) (8,0) (8,8)",11,6,5,11,E6C4-13; E6C4-16; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-2T [local capture]; E6C4-30; E6C5-2J; E6C6-11; E6C6-1R; E6C6-21,10,E6C4-13; E6C4-16; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-30; E6C5-2J; E6C6-11; E6C6-1R; E6C6-21,E6C4; E6C5; E6C6,I,Side track (5 broadcasts) — opener/tail segment,,,5,114,1,118×6; 129×1,120×11,E6C4-13,424,14.1415
120,000100000100000000000010000000100000000010000000100000000000010000000000100001000,9,"(0,3) (1,0) (2,4) (3,3) (4,4) (5,3) (6,7) (8,0) (8,5)",13,7,6,13,E6C4-13; E6C4-16; E6C4-18; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-2T [local capture]; E6C4-30; E6C4-30 [local capture]; E6C5-2J; E6C6-11; E6C6-1R; E6C6-21,11,E6C4-13; E6C4-16; E6C4-18; E6C4-1G; E6C4-1H; E6C4-2T; E6C4-30; E6C5-2J; E6C6-11; E6C6-1R; E6C6-21,E6C4; E6C5; E6C6,,,,,9,115,1,119×11; 67×1,121×13,E6C4-13,429,14.3082
